2792	1026
2797	682
2797	2675
2797	896
2793	115
2793	2726
2793	789
2797	2091
2797	947
2792	2013
2797	2557
2797	522
2793	2224
2797	2051
2797	2158
2797	522
2797	1894
2797	1855
2797	800
2793	1825
2793	758
2793	2675
2797	2051
2797	704
2793	2024
2797	522
2797	2051
2797	2367
2797	2727
2797	1480
2797	2158
2793	2051
2797	1889
2792	2215
2797	2307
2797	2466
2797	2051
2797	2727
2797	2051
2797	531
2797	2727
2797	1994
2797	63
2793	2367
2793	2596
2797	1019
2797	1033
2797	1770
2793	125
2793	917
2797	2731
2793	2051
2793	943
2793	2747
2797	63
2797	1387
2793	2675
2797	1387
2797	2420
2793	1069
2797	2612
2797	501
2797	686
2793	2051
2797	704
2797	2051
2792	664
2797	1142
2793	2596
2793	2367
2793	1634
2797	1694
2797	2561
2797	63
2797	2158
2797	2596
2797	115
2797	2726
2797	2184
2793	609
2797	1271
2793	1057
2797	917
2793	1057
2797	1894
2797	522
2793	2215
2797	2754
2797	2046
2797	1019
2797	1033
2797	198
2797	2415
2793	1694
2793	800
2793	2561
2793	664
2793	2557
2793	1527
2792	2340
2797	1320
2797	943
2792	1646
2792	1223
2792	1580
2792	1180
2792	989
2792	1168
2792	683
2797	2666
2797	1711
2797	2605
2797	2763
2797	2415
2797	2596
2793	2666
2797	1902
2797	2589
2797	1387
2797	698
2797	1899
2797	20
2797	1793
2797	2415
2797	1
2797	2589
2797	1330
2797	2395
2797	826
2797	2329
2797	31
2797	1386
2792	31
2797	2637
2797	2637
2797	20
2797	2632
2793	1892
2793	2243
2797	1899
2797	2508
2793	1892
2797	2612
2797	1773
2797	1892
2793	1773
2793	1839
2797	2329
2797	1855
2792	31
2797	1611
2797	31
2797	2624
2797	1405
2797	1724
2797	1679
2797	2763
2797	2103
2797	2561
2797	1892
2793	1773
2793	501
2793	2407
2797	1773
2793	400
2797	8
2797	1018
2797	896
2797	2796
2793	2215
2793	677
2797	320
2797	1330
2797	1892
2793	1892
2793	1985
2793	1033
2793	2046
2797	1012
2797	1216
2797	1773
2797	1611
2797	1216
2797	677
2797	802
2797	1057
2797	2727
2793	1412
2797	1412
2793	638
2793	802
2793	1793
2793	1819
2797	1396
2797	1892
2793	1668
2797	2592
2792	2419
2792	1985
2793	819
2793	62
2793	690
2793	812
2793	1748
2797	1396
2797	1244
2793	1801
2797	1773
2797	812
2797	2123
2797	748
2797	2466
2793	1611
2793	1773
2797	1320
2797	1121
2797	31
2793	2561
2792	2416
2797	989
2797	1607
2797	1611
2797	133
2797	1330
2792	11
2797	943
2797	11
2797	1353
2793	2642
2793	266
2793	1574
2797	1773
2797	517
2797	1892
2797	294
2797	517
2797	2754
2797	1019
2797	2046
2797	198
2797	1531
2797	1985
2797	2307
2797	672
2797	2436
2797	2123
2797	2407
2792	1052
2797	2436
2797	2743
2797	1346
2793	518
2797	936
2797	830
2792	298
2793	1773
2793	802
2793	664
2792	197
2792	2606
2792	1985
2797	496
2797	1773
2797	1892
2793	415
2797	1773
2797	2436
2797	11
2797	2407
2793	1896
2797	1185
2797	1770
2797	830
2797	1611
2797	1306
2793	478
2797	400
2797	2340
2797	9
2792	1718
2797	294
2797	905
2797	1569
2793	1894
2793	2391
2793	415
2797	1607
2797	2584
2793	2407
2797	1877
2797	1933
2797	1656
2797	1271
2797	1568
2797	494
2792	2563
2797	2093
2797	398
2797	748
2793	1933
2793	1892
2797	472
2797	207
2797	977
2797	207
2797	31
2793	2606
2797	398
2793	2073
2793	1511
2793	2277
2797	451
2797	124
2793	2277
2797	1958
2797	2241
2797	1877
2797	207
2797	903
2797	1527
2797	903
2797	1744
2797	1194
2797	1958
2797	994
2797	994
2797	1271
2792	2320
2793	2743
2793	1018
2797	1897
2797	2390
2797	63
2797	2218
2797	1611
2797	2675
2797	207
2797	79
2797	1773
2797	2544
2797	2466
2797	1870
2797	207
2792	1105
2797	2289
2797	81
2797	517
2792	2494
2792	1945
2792	2229
2792	2053
2792	1611
2792	1607
2792	47
2792	177
2792	2170
2797	11
2797	496
2797	830
2793	207
2793	2612
2797	830
2797	1200
2793	1669
2793	1511
2793	2073
2797	207
2797	1321
2797	994
2797	1845
2797	207
2793	496
2797	1933
2793	994
2793	141
2792	1201
2797	2466
2797	1717
2793	1840
2797	830
2797	2053
2797	2024
2797	1896
2797	2320
2797	346
2797	97
2797	1385
2797	2507
2797	2130
2797	2170
2797	133
2797	1330
2797	4
2793	88
2793	1330
2797	758
2797	1568
2797	1725
2797	2158
2797	88
2797	494
2793	1809
2793	2785
2793	1320
2793	520
2797	994
2797	1845
2797	698
2797	398
2797	1201
2797	2595
2797	493
2797	2561
2797	4
2797	133
2797	677
2797	2507
2797	1852
2797	2619
2797	1412
2797	994
2793	1569
2793	477
2797	79
2797	2390
2797	1897
2797	1540
2797	207
2793	1801
2793	1216
2793	115
2797	1877
2792	320
2792	10
2793	1296
2793	88
2793	2229
2793	294
2793	494
2797	1129
2797	812
2793	2016
2797	62
2797	682
2793	1967
2793	858
2797	830
2793	47
2793	625
2797	2047
2793	1892
2797	1892
2797	2215
2793	1611
2797	989
2797	1892
2797	11
2793	494
2793	994
2797	2632
2797	2170
2797	1686
2793	1877
2797	1892
2793	1360
2797	1930
